Facility,Region,County,Y,X,MMBTU_potential,Type,Type_Num
Farm # 7684,Fayetteville,Robeson,34.78055,-79.280308,1644,Swine - Feeder to Finish,3
2703,Fayetteville,Sampson,34.783294,-78.287036,1644,Swine - Feeder to Finish,3
7685,Fayetteville,Richmond,34.825883,-79.648636,1644,Swine - Feeder to Finish,3
7681,Fayetteville,Robeson,34.864336,-79.127033,1644,Swine - Feeder to Finish,3
Bobby Bland Hog Farm,Wilmington,Duplin,34.871459,-77.923136,1644,Swine - Farrow to Wean,1
Butler and Crumpler Farm (B&C Farm),Fayetteville,Sampson,34.911041,-78.497657,1644,Swine - Wean to Feeder,2
Farm 7688,Fayetteville,Scotland,34.928926,-79.473174,1644,Swine - Feeder to Finish,3
Farm 7687,Fayetteville,Scotland,34.932178,-79.490894,1644,Swine - Farrow to Wean,1
Farm 7689,Fayetteville,Scotland,34.936726,-79.471581,1644,Swine - Feeder to Finish,3
Farm 5786,Fayetteville,Hoke,34.941311,-79.321647,1644,Swine - Feeder to Finish,3
Whaley Farm,Washington,Lenoir,35.068941,-77.60723,1644,Swine - Wean to Finish,6
2702,Fayetteville,Sampson,35.088238,-78.332551,1644,Swine - Feeder to Finish,3
Zimmerman Farm,Washington,Lenoir,35.1315,-77.59586,1644,Swine - Feeder to Finish,3
"Goshen Farms of ENC, LLC",Fayetteville,Sampson,35.193933,-78.173977,1644,Swine - Feeder to Finish,3
Craig Farm #3,Washington,Wayne,35.3192,-78.1017,1644,Swine - Wean to Feeder,2
Alum Springs L.L.C.,Washington,Craven,35.3325,-77.39316,1644,Swine - Feeder to Finish,3
P-62,Fayetteville,Harnett,35.360084,-78.87369,1644,Swine - Feeder to Finish,3
G.I.S. of North Carolina,Washington,Pitt,35.7448,-77.285547,1644,Swine - Feeder to Finish,3
Farm 40,Washington,Hertford,36.289694,-76.897024,1644,Swine - Feeder to Finish,3
W4 Farms,Winston-Salem,Surry,36.3742,-80.7819,1644,Swine - Farrow to Finish,5
Farm 39,Raleigh,Northampton,36.488599,-77.495467,1644,Swine - Farrow to Wean,1
Morris Brinson Farm # 4,Wilmington,Onslow,34.9192,-77.6375,1631,Swine - Wean to Feeder,2
E & B Farm # 4,Wilmington,Duplin,34.805,-77.9775,1626,Swine - Feeder to Finish,3
David Stroud Farm,Wilmington,Onslow,34.8081,-77.5483,1626,Swine - Feeder to Finish,3
Johnny Boone Farm,Wilmington,Duplin,34.825,-78.0647,1626,Swine - Wean to Feeder,2
Tim Noble Farm,Wilmington,Duplin,34.965556,-77.818377,1626,Swine - Wean to Feeder,2
Jaron Kennedy Farm,Wilmington,Duplin,35.0021,-77.7914,1626,Swine - Wean to Feeder,2
J&B Farm,Wilmington,Duplin,35.05135,-78.13512,1626,Swine - Wean to Feeder,2
George D. Walker Farm,Wilmington,Duplin,35.0764,-77.8586,1626,Swine - Feeder to Finish,3
Popeye Farm,Wilmington,Duplin,35.0869,-77.8772,1626,Swine - Feeder to Finish,3
James B. Rouse Farm,Wilmington,Duplin,35.170546,-77.848908,1626,Swine - Feeder to Finish,3
Jones Farm,Fayetteville,Sampson,35.19468,-78.294952,1626,Swine - Wean to Feeder,2
William Davis Farm,Washington,Lenoir,35.2279,-77.657264,1626,Swine - Wean to Feeder,2
D.O. Bryan Farm,Washington,Wayne,35.2828,-78.2519,1626,Swine - Wean to Feeder,2
Langley Farm,Raleigh,Edgecombe,35.8535,-77.7723,1626,Swine - Farrow to Wean,1
Long Ridge Farm,Wilmington,Duplin,35.1033,-77.9167,1626,Swine - Feeder to Finish,3
Indian Springs Isolation,Washington,Wayne,35.2342,-77.9469,1626,Swine - Wean to Feeder,2
"Beaver Dam # 3, 4, & 5",Fayetteville,Sampson,34.929424,-78.547755,1625,Swine - Feeder to Finish,3
Pig Palace,Washington,Lenoir,35.0888,-77.70691,1625,Swine - Feeder to Finish,3
Wendell Teachey Farm,Wilmington,Duplin,34.8153,-77.9236,1623,Swine - Farrow to Wean,1
Alvin C. Knowles Farm,Wilmington,Duplin,34.7447,-78.1197,1621,Swine - Wean to Feeder,2
Duland Jenkins Farm #1,Wilmington,Onslow,34.8736,-77.6453,1621,Swine - Feeder to Finish,3
Carl Baker Farm,Wilmington,Duplin,34.9869,-77.8064,1621,Swine - Feeder to Finish,3
Papa T Farm,Wilmington,Duplin,35.0019,-77.7917,1621,Swine - Wean to Feeder,2
Langston Farms,Raleigh,Johnston,35.286416,-78.367926,1620,Swine - Feeder to Finish,3
Neill Jackson Farm,Fayetteville,Bladen,34.451572,-78.437858,1614,Multiple,7
Ben Gardner Farm,Washington,Pitt,35.4028,-77.297383,1610,Swine - Feeder to Finish,3
Batten Farm,Raleigh,Nash,36.019807,-77.9484,1605,Multiple,7
Bennie King,Wilmington,Brunswick,34.104978,-78.474189,1600,Swine - Wean to Feeder,2
C Bay Nursery,Wilmington,Brunswick,34.119927,-78.429807,1600,Swine - Wean to Feeder,2
Circle E Farms I & II,Wilmington,Columbus,34.2719,-79.0214,1600,Swine - Wean to Feeder,2
"James Emery Farms, Inc.",Wilmington,Columbus,34.2758,-78.9883,1600,Swine - Wean to Feeder,2
Mark and Tommy Johnson,Wilmington,Columbus,34.4278,-78.8806,1600,Swine - Wean to Feeder,2
Lucas Carter Farm,Wilmington,Pender,34.6511,-78.1411,1600,Swine - Feeder to Finish,3
Wayne & Susan Smith Farm,Fayetteville,Bladen,34.719841,-78.462661,1600,Swine - Farrow to Wean,1
Kenneth Inman Farms,Fayetteville,Bladen,34.745353,-78.823058,1600,Swine - Feeder to Finish,3
R & M Farms,Fayetteville,Bladen,34.748273,-78.826547,1600,Swine - Wean to Feeder,2
Billups Nursery,Fayetteville,Bladen,34.791302,-78.592686,1600,Swine - Wean to Feeder,2
Jana Farms #1 & #2,Fayetteville,Sampson,34.8409,-78.303152,1600,Swine - Farrow to Wean,1
Ronnie Johnson Farm,Fayetteville,Sampson,34.901838,-78.463633,1600,Swine - Wean to Feeder,2
Houston Nursery,Wilmington,Duplin,34.9458,-78.0139,1600,Swine - Feeder to Finish,3
Robert Butler,Fayetteville,Sampson,34.966788,-78.428844,1600,Swine - Feeder to Finish,3
Potter's Hill Nursery #1 & #2,Washington,Jones,34.9897,-77.6872,1600,Swine - Feeder to Finish,3
E & E Farms,Wilmington,Duplin,35.033111,-77.928084,1600,Swine - Feeder to Finish,3
Ray Gainey,Fayetteville,Sampson,35.057061,-78.286508,1600,Swine - Wean to Feeder,2
Wendy Creek Hog Farm,Fayetteville,Sampson,35.069127,-78.531258,1600,Swine - Feeder to Finish,3
Lanier's Nursery,Wilmington,Duplin,35.0861,-77.8006,1600,Swine - Farrow to Wean,1
Tear Shirt Farm #2,Wilmington,Duplin,35.091511,-78.058803,1600,Swine - Farrow to Wean,1
Sharon's Nursery #1&2,Wilmington,Duplin,35.0989,-77.8147,1600,Swine - Feeder to Finish,3
Mill Branch Farms,Wilmington,Duplin,35.108246,-78.006086,1600,Swine - Farrow to Finish,5
Diamond J Farms,Wilmington,Duplin,35.1275,-77.9569,1600,Swine - Feeder to Finish,3
Darden Farms Nursery,Fayetteville,Sampson,35.129314,-78.362256,1600,Swine - Feeder to Finish,3
Paradise Farms,Wilmington,Duplin,35.1436,-77.9575,1600,Swine - Feeder to Finish,3
T&C Rose #1&2,Wilmington,Duplin,35.1492,-77.9631,1600,Swine - Feeder to Finish,3
"Oink Heaven, Inc.",Washington,Jones,35.1664,-77.4706,1600,Swine - Feeder to Finish,3
Brightleaf Farms I & II,Washington,Wayne,35.5022,-77.8744,1600,Swine - Wean to Feeder,2
Ansley Nursery,Washington,Wayne,35.5414,-77.9319,1600,Swine - Feeder to Finish,3
Perry Nursery,Raleigh,Halifax,36.1697,-77.4272,1600,Swine - Wean to Feeder,2
Long Haul Farms Site #1 & 2,Wilmington,Duplin,34.9667,-78.1075,1600,Swine - Feeder to Finish,3
Major Murray Hog Farm,Wilmington,Duplin,34.7275,-77.9606,1599,Swine - Feeder to Finish,3
Starling Farm,Fayetteville,Sampson,35.080383,-78.644166,1598,Swine - Wean to Feeder,2
Eagles Nest Sow,Washington,Wayne,35.2417,-77.9844,1594,Multiple,7
"Benson Sow Farm, LLC",Wilmington,Duplin,35.0339,-77.9381,1587,Multiple,7
Grant Sow,Washington,Wayne,35.1967,-77.9472,1587,Multiple,7
J.L.M. Farms LLC,Raleigh,Johnston,35.338583,-78.239703,1587,Multiple,7
"Stuart Mill Road Farms, LLC",Fayetteville,Robeson,34.465586,-79.244253,1581,Swine - Farrow to Wean,1
Cognac Farms,Fayetteville,Richmond,34.960864,-79.624617,1577,Swine - Feeder to Finish,3
Carl Riley Nursery,Fayetteville,Sampson,34.794447,-78.192308,1575,Swine - Wean to Feeder,2
Longshot Nursery,Fayetteville,Sampson,35.180492,-78.450864,1575,Swine - Farrow to Wean,1
Double C Farms,Washington,Greene,35.48,-77.7733,1575,Swine - Feeder to Finish,3
Bailey Swine Farm,Washington,Greene,35.6467,-77.7044,1572,Swine - Wean to Feeder,2
Coastal Farms #1,Wilmington,Columbus,34.4306,-78.7678,1545,Swine - Farrow to Wean,1
J.L.M. Wilmar Farms LLC,Washington,Beaufort,35.384529,-77.112694,1538,Swine - Feeder to Finish,3
Bennett Place,Fayetteville,Bladen,34.471969,-78.550633,1520,Swine - Wean to Feeder,2
Crooked Branch Nursery,Fayetteville,Bladen,34.547691,-78.720022,1520,Swine - Wean to Feeder,2
Big Bay Nursery,Fayetteville,Bladen,34.551694,-78.714852,1520,Swine - Wean to Feeder,2
Baldwin Branch Nursery,Fayetteville,Bladen,34.580919,-78.639463,1520,Swine - Wean to Feeder,2
"Alpine Farms, Inc.",Fayetteville,Sampson,34.676142,-78.215322,1520,Swine - Feeder to Finish,3
"L & W Farms, Inc",Fayetteville,Sampson,34.870425,-78.433291,1520,Swine - Feeder to Finish,3
Pigtime Nurseries,Fayetteville,Cumberland,34.886683,-78.554053,1520,Swine - Feeder to Finish,3
"Carr Boy Farms, Inc. 1-4",Fayetteville,Sampson,34.891619,-78.446694,1520,Swine - Feeder to Finish,3
Ricky Hall Farm,Fayetteville,Cumberland,34.892247,-78.543367,1520,Swine - Wean to Feeder,2
"Carr Boy Farms,  Inc 5-8",Fayetteville,Sampson,34.893916,-78.456755,1520,Swine - Wean to Finish,6
James Ray Hall,Fayetteville,Cumberland,34.896675,-78.543831,1520,Swine - Wean to Feeder,2
J & T Nurseries,Fayetteville,Sampson,34.917839,-78.345161,1520,Swine - Farrow to Wean,1
Rodney Hall Farm 1-4,Fayetteville,Cumberland,34.945008,-78.610889,1520,Swine - Feeder to Finish,3
"Ben Leonard, Jr.",Fayetteville,Sampson,34.989558,-78.541611,1520,Swine - Feeder to Finish,3
Keith B Butler Farm,Fayetteville,Sampson,34.994166,-78.425341,1520,Swine - Wean to Feeder,2
JL Hog Farm,Fayetteville,Sampson,35.000391,-78.450058,1520,Swine - Feeder to Finish,3
Underwood Farms,Fayetteville,Sampson,35.031189,-78.363875,1520,Swine - Feeder to Finish,3
McPhail Nursery Farm,Fayetteville,Sampson,35.107281,-78.530688,1520,Swine - Feeder to Finish,3
Larry & Patricia's Pig Nursery,Fayetteville,Cumberland,35.184375,-78.677114,1520,Swine - Feeder to Finish,3
Ferrell Farms,Fayetteville,Harnett,35.415255,-78.640425,1520,Swine - Feeder to Finish,3
C&S Johnson,Raleigh,Johnston,35.4394,-78.5161,1520,Swine - Feeder to Finish,3
1900 Bridgers Place - Ralph F. Bridgers,Washington,Wayne,35.4514,-78.1183,1519,Swine - Feeder to Finish,3
Major Ivey Farm,Wilmington,Duplin,35.0853,-77.9483,1518,Swine - Feeder to Finish,3
White Plains Nursery,Fayetteville,Bladen,34.476322,-78.548255,1515,Swine - Wean to Feeder,2
White Rock Farms,Fayetteville,Anson,34.822255,-80.295013,1507,Swine - Farrow to Wean,1
White Rock Farms,Fayetteville,Anson,34.853097,-80.066391,1507,Swine - Wean to Feeder,2
Ballance Brothers Partnership,Washington,Wayne,35.5736,-77.9283,1506,Multiple,7
Mt. Olive Livestock,Wilmington,Duplin,35.1189,-78.1014,1501,Swine - Feeder to Finish,3
Freeman Murphy Farm,Wilmington,Duplin,35.0767,-77.85,1500,Swine - Feeder to Finish,3
Ben Outlaw Hog Farm,Washington,Wayne,35.2189,-77.8939,1491,Swine - Feeder to Finish,3
Wheeler Farm,Raleigh,Northampton,36.3544,-77.3356,1491,Swine - Wean to Feeder,2
Pine Ridge Farm,Washington,Greene,35.4011,-77.5817,1486,Swine - Feeder to Finish,3
Sandhill Sow Farm,Washington,Greene,35.4367,-77.7481,1486,Swine - Wean to Finish,6
Linwood Hall Sow Farm,Washington,Greene,35.4744,-77.7517,1486,Swine - Feeder to Finish,3
Andrews Hunt Farm (Castalia),Raleigh,Franklin,36.0761,-78.1014,1486,Swine - Wean to Finish,6
Tri-G3 Farm,Washington,Bertie,36.14471,-77.037893,1485,Swine - Wean to Finish,6
Collie Sow Farm,Washington,Wayne,35.235195,-77.911641,1478,Multiple,7
Blount Bros. Farm,Raleigh,Edgecombe,35.8597,-77.3694,1473,Swine - Wean to Feeder,2
P & F Farms,Mooresville,Rowan,35.669319,-80.37289,1468,Swine - Feeder to Finish,3
Grimes Road Farms,Fayetteville,Sampson,35.195336,-78.207519,1459,Swine - Farrow to Wean,1
Butler Farms,Fayetteville,Sampson,35.041053,-78.429514,1440,Swine - Feeder to Finish,3
Perry Sow,Raleigh,Halifax,36.2375,-77.4097,1425,Swine - Farrow to Wean,1
Dwight Mayo - Daughtry Farm,Raleigh,Johnston,35.4611,-78.2861,1423,Swine - Farrow to Wean,1
BNJ Farm,Raleigh,Wilson,35.620352,-77.882303,1404,Swine - Feeder to Finish,3
E&S Farm,Wilmington,Duplin,34.7775,-78.1186,1400,Swine - Feeder to Finish,3
Hickory Hill Farm,Wilmington,Duplin,34.8756,-77.7361,1400,Swine - Farrow to Wean,1
Kee-Lang Farms Inc,Washington,Jones,35.0392,-77.2994,1400,Swine - Feeder to Finish,3
Matt Butler Farm,Fayetteville,Sampson,35.045,-78.4394,1400,Swine - Wean to Feeder,2
Sasser Nursery,Washington,Wayne,35.2514,-77.9228,1400,Swine - Feeder to Finish,3
Roberts Nursery,Washington,Wayne,35.2569,-78.0006,1400,Swine - Feeder to Finish,3
McPhail Farms,Fayetteville,Sampson,35.070091,-78.554119,1395,Swine - Wean to Feeder,2
Legacy 2 Farm,Wilmington,Duplin,35.0139,-77.9183,1394,Swine - Farrow to Wean,1
Jeffrey Thornton Farm,Raleigh,Johnston,35.2722,-78.3742,1384,Swine - Feeder to Finish,3
Battlefield Sow Farm,Raleigh,Johnston,35.328857,-78.30552,1378,Swine - Feeder to Finish,3
Farm #30,Fayetteville,Bladen,34.5169,-78.591427,1370,Swine - Farrow to Wean,1
P-1,Fayetteville,Sampson,34.664919,-78.303891,1370,Swine - Feeder to Finish,3
P-2,Fayetteville,Sampson,34.665397,-78.312924,1370,Swine - Wean to Feeder,2
P-3,Fayetteville,Sampson,34.671083,-78.314183,1370,Swine - Farrow to Wean,1
P-4,Fayetteville,Sampson,34.672691,-78.307694,1370,Swine - Feeder to Finish,3
P-6,Fayetteville,Sampson,34.679205,-78.319091,1370,Swine - Wean to Feeder,2
P-5,Fayetteville,Sampson,34.681277,-78.314302,1370,Swine - Feeder to Finish,3
"C. Allen Farms, LLC",Fayetteville,Sampson,34.75398,-78.326936,1370,Swine - Farrow to Wean,1
P-14C,Fayetteville,Bladen,34.809475,-78.800216,1370,Swine - Feeder to Finish,3
P-19 D,Fayetteville,Sampson,34.837111,-78.46338,1370,Swine - Feeder to Finish,3
P-19 C,Fayetteville,Sampson,34.839666,-78.46631,1370,Swine - Feeder to Finish,3
JBJ Kilpatrick Farms Inc,Wilmington,Duplin,34.8917,-77.9167,1370,Swine - Wean to Finish,6
Farm #31 / 3731,Fayetteville,Sampson,34.924416,-78.510452,1370,Swine - Boar/Stud,8
Triple H Farms,Fayetteville,Sampson,34.940705,-78.458714,1370,Swine - Wean to Feeder,2
"Clayhill Farms, Inc.",Washington,Jones,34.9917,-77.2917,1370,Swine - Feeder to Finish,3
Farm #20 / 3620,Wilmington,Duplin,35.0953,-78.1378,1370,Swine - Wean to Feeder,2
Savannah Hill Farms,Fayetteville,Sampson,35.275125,-78.542338,1370,Swine - Feeder to Finish,3
Porter Farms,Mooresville,Cabarrus,35.3519,-80.4444,1370,Swine - Feeder to Finish,3
John Blosser Swine Farm,Wilmington,Columbus,34.1269,-78.7533,1355,Swine - Feeder to Finish,3
T & M Sow Farm,Fayetteville,Sampson,35.020527,-78.258875,1355,Swine - Feeder to Finish,3
John O. Royal #9,Fayetteville,Sampson,35.105214,-78.421105,1355,Swine - Feeder to Finish,3
Oakwood Farms,Winston-Salem,Randolph,35.5128,-79.745,1355,Swine - Feeder to Finish,3
David Murphrey Farm,Washington,Greene,35.5219,-77.6206,1355,Swine - Feeder to Finish,3
Michael Nixon Farm,Washington,Chowan,36.2153,-76.6756,1355,Swine - Wean to Feeder,2
DMJ Farms 2,Raleigh,Northampton,36.3008,-77.3264,1355,Swine - Feeder to Finish,3
Barrow West,Raleigh,Northampton,36.3667,-77.4533,1355,Swine - Feeder to Finish,3
T & S Denning Farm,Raleigh,Johnston,35.404275,-78.576738,1337,Swine - Feeder to Finish,3
Mike Lassiter Farm,Raleigh,Northampton,36.3647,-77.2647,1333,Swine - Feeder to Finish,3
Glenn Grady Farm,Washington,Wayne,35.274249,-77.929068,1331,Swine - Wean to Feeder,2
Arrowhead Farms,Washington,Wayne,35.232804,-78.216984,1320,Swine - Wean to Feeder,2
Jesse Oakes Nursery 1 & 2,Washington,Greene,35.3839,-77.5739,1320,Swine - Feeder to Finish,3
Ricky Smith Nursery,Fayetteville,Cumberland,34.865278,-78.555056,1310,Swine - Farrow to Finish,5
Concord #1 & #2,Fayetteville,Sampson,34.969301,-78.404441,1310,Swine - Feeder to Finish,3
Evan Nursery & Ash Nursery,Wilmington,Duplin,35.0106,-77.9697,1310,Swine - Wean to Feeder,2
4M Hog Farm Inc.,Washington,Wayne,35.2369,-78.1483,1303,Swine - Feeder to Finish,3
Farm 2148,Fayetteville,Sampson,35.059033,-78.206909,1302,Swine - Wean to Feeder,2
KBA,Wilmington,Columbus,34.4431,-78.6478,1300,Swine - Wean to Feeder,2
Fennell Nursery 1&2,Wilmington,Pender,34.4444,-77.9606,1300,Swine - Wean to Feeder,2
Moore Farm,Wilmington,Pender,34.5019,-78.1703,1300,Swine - Wean to Feeder,2
Fennert & Brewster Nursery,Wilmington,Pender,34.5275,-78.1469,1300,Swine - Wean to Feeder,2
JK Barnhill Teachy Farm,Wilmington,Pender,34.5325,-77.8667,1300,Swine - Wean to Feeder,2
