Facility,Region,County,Y,X,MMBTU_potential,Type,Type_Num
Green Sea / Sir George Farm,Fayetteville,Bladen,34.80643,-78.483794,1300,Swine - Wean to Feeder,2
"Huffham Farms, Inc.",Wilmington,Duplin,34.815275,-78.133541,1300,Swine - Feeder to Finish,3
B & Y Family Farms,Fayetteville,Sampson,34.828975,-78.422633,1300,Swine - Farrow to Wean,1
Allen Cannady Farm #1,Fayetteville,Sampson,34.839658,-78.372016,1300,Swine - Farrow to Wean,1
Beaverdam Nursery #1 & #2,Fayetteville,Cumberland,34.8913,-78.606997,1300,Swine - Feeder to Finish,3
H & K Farm,Wilmington,Onslow,34.8936,-77.6186,1300,Swine - Feeder to Finish,3
Elder Creek Farm #2 & #3,Wilmington,Duplin,34.9069,-77.9942,1300,Swine - Wean to Feeder,2
Sycamore Station Nursery,Fayetteville,Sampson,34.944783,-78.166994,1300,Swine - Wean to Feeder,2
Tanner Farm,Fayetteville,Sampson,34.97605,-78.605238,1300,Swine - Feeder to Finish,3
Pigs-R-Us/Miller's Nursery,Wilmington,Duplin,34.9786,-77.7481,1300,Swine - Feeder to Finish,3
B&O Farm,Wilmington,Duplin,35.0156,-77.9967,1300,Swine - Feeder to Finish,3
Hillsdale Farm I&II,Wilmington,Duplin,35.0314,-78.0158,1300,Swine - Feeder to Finish,3
Pleasant Grove Nursery 1&2,Wilmington,Duplin,35.1056,-77.9022,1300,Swine - Farrow to Wean,1
Spencer Nursery 1 & 2,Fayetteville,Sampson,35.124922,-78.204442,1300,Swine - Wean to Feeder,2
Neuse #1 & Neuse #2,Washington,Craven,35.2584,-77.212528,1300,Swine - Feeder to Finish,3
"Shady Branch Farms, LLC Maul Swamp",Washington,Craven,35.3354,-77.110108,1300,Swine - Wean to Feeder,2
"Shady Branch Farms, LLC Palmetto",Washington,Craven,35.3577,-77.143749,1300,Swine - Farrow to Finish,5
"M.R. Langdon & Sons, Inc.",Raleigh,Johnston,35.5044,-78.5503,1300,Swine - Feeder to Finish,3
Maranatha Nursery #1 & #2,Washington,Wayne,35.5492,-78.0686,1300,Swine - Feeder to Finish,3
Jamie Dail Nurseries,Wilmington,Duplin,34.85,-77.8228,1300,Swine - Feeder to Finish,3
Deal Farm,Wilmington,Pender,34.6158,-77.8694,1287,Swine - Feeder to Finish,3
"Lafeyette Farms,LLC L-6",Fayetteville,Sampson,34.895727,-78.36252,1282,Swine - Feeder to Finish,3
Barefoot Nursery,Fayetteville,Sampson,35.153827,-78.251475,1280,Swine - Feeder to Finish,3
National Spinning Farm,Wilmington,Duplin,34.9033,-77.7533,1267,Swine - Wean to Feeder,2
J. K. Barnhill Sumner Farm,Wilmington,Pender,34.4886,-78.05,1266,Swine - Wean to Feeder,2
Mack L. Grady Farm,Washington,Wayne,35.200973,-77.828312,1260,Swine - Feeder to Finish,3
7177,Fayetteville,Scotland,34.770465,-79.389701,1256,Swine - Feeder to Finish,3
2147,Wilmington,Duplin,34.9875,-77.9097,1256,Swine - Feeder to Finish,3
2149,Wilmington,Duplin,34.9525,-78.1367,1256,Swine - Feeder to Finish,3
Rosewood Swine Farms LLC,Washington,Jones,35.1278,-77.3411,1255,Swine - Feeder to Finish,3
Pope's Pig Palace,Fayetteville,Sampson,35.022829,-78.247543,1250,Swine - Farrow to Wean,1
Byrum Farm,Washington,Gates,36.492385,-76.67016,1240,Swine - Feeder to Finish,3
Oak Springs Sow Farm,Fayetteville,Bladen,34.531375,-78.4903,1238,Swine - Farrow to Wean,1
Jenkins Farm Inc,Wilmington,Onslow,34.7508,-77.6614,1233,Swine - Wean to Feeder,2
Billy Oxendine Farm,Fayetteville,Robeson,34.751078,-79.149075,1224,Multiple,7
Rodlee Pork Inc.,Washington,Hyde,35.658175,-76.58175,1220,Swine - Farrow to Wean,1
"Nash Pigg Rentals, LLC Rock Ridge II",Raleigh,Wilson,35.7247,-78.0697,1217,Swine - Farrow to Wean,1
5M Farms,Fayetteville,Sampson,35.133108,-78.505519,1200,Swine - Wean to Feeder,2
Jet Nursery,Washington,Wayne,35.337633,-77.956136,1200,Swine - Feeder to Finish,3
T & T Farm,Fayetteville,Anson,34.850075,-80.167827,1192,Swine - Feeder to Finish,3
Rick and William Lanier Farm,Wilmington,Duplin,34.8542,-77.7,1192,Swine - Wean to Feeder,2
Romeo Weston Farm,Wilmington,Duplin,35.0833,-77.7544,1191,Swine - Feeder to Finish,3
W & W Farms,Wilmington,Brunswick,33.9667,-78.4972,1172,Swine - Farrow to Finish,5
"Oak Grove Farm of Duplin, Inc.",Wilmington,Duplin,34.7847,-78.1331,1165,Swine - Wean to Feeder,2
Farm 6707,Fayetteville,Hoke,34.9985,-79.389475,1165,Swine - Feeder to Finish,3
Deerfield Farm,Fayetteville,Moore,35.321075,-79.640622,1163,Swine - Feeder to Finish,3
Indian Hills Farm,Fayetteville,Moore,35.325533,-79.645658,1163,Swine - Feeder to Finish,3
William Lane Swine Farms,Washington,Greene,35.5028,-77.6711,1162,Swine - Wean to Feeder,2
Nash Pigg Inc.,Raleigh,Nash,36.046542,-77.990785,1157,Swine - Wean to Feeder,2
Legacy  Sow Farm,Wilmington,Duplin,35.035624,-77.963323,1149,Multiple,7
Randy Gray's Isolation Farm,Washington,Wayne,35.4655,-77.8287,1138,Swine - Wean to Feeder,2
Holly Ridge Farm,Fayetteville,Moore,35.317805,-79.625661,1131,Swine - Feeder to Finish,3
Butler Island Farm,Fayetteville,Sampson,34.9233,-78.5442,1125,Swine - Feeder to Finish,3
Thomas Hardy Farms,Washington,Greene,35.5247,-77.5819,1121,Swine - Wean to Feeder,2
James E. Lancaster Farm,Raleigh,Edgecombe,35.865372,-77.780158,1118,Swine - Feeder to Finish,3
English Farms,Wilmington,Pender,34.582087,-77.938011,1116,Swine - Farrow to Feeder,4
Charles Locklear Farm,Fayetteville,Hoke,34.848488,-79.2939,1116,Swine - Wean to Feeder,2
SHW Sow Farm 1,Fayetteville,Sampson,34.91125,-78.352119,1096,Swine - Wean to Feeder,2
"Spring Meadow Farm of Cumberland Co., LLC",Fayetteville,Cumberland,35.220389,-78.697892,1096,Swine - Feeder to Finish,3
Sandy Ridge Pork,Raleigh,Johnston,35.3526,-78.3416,1096,Swine - Wean to Feeder,2
Strickland Farms,Fayetteville,Sampson,34.866177,-78.297888,1088,Swine - Feeder to Finish,3
Sanders & Davis Farm Inc,Wilmington,Onslow,34.6386,-77.6111,1087,Swine - Farrow to Wean,1
Whitfield Livestock #2,Fayetteville,Sampson,35.184377,-78.305969,1084,Swine - Feeder to Finish,3
Doug Herring Farm,Washington,Lenoir,35.1879,-77.72738,1084,Swine - Feeder to Finish,3
T.E. Dawson Farm,Washington,Greene,35.5,-77.7833,1084,Swine - Feeder to Finish,3
Burnette Farms,Washington,Pitt,35.6849,-77.631889,1083,Swine - Feeder to Finish,3
Loflin Farms,Winston-Salem,Davidson,35.5978,-80.0692,1066,Swine - Wean to Feeder,2
Sutton Bros Inc,Washington,Wayne,35.246672,-77.850703,1065,Swine - Wean to Feeder,2
Cherry Research Farm,Washington,Wayne,35.3769,-78.0311,1065,Swine - Feeder to Finish,3
Wilbur Creech Farm,Raleigh,Johnston,35.7683,-78.2433,1065,Swine - Feeder to Finish,3
Riverview Farms,Fayetteville,Cumberland,34.860658,-78.803694,1055,Swine - Wean to Finish,6
Windy Ammons Farm,Fayetteville,Richmond,34.942814,-79.62795,1050,Swine - Feeder to Finish,3
Crantock Farm,Raleigh,Johnston,35.5261,-78.4582,1046,Multiple,7
K6 Nursery,Wilmington,Pender,34.6721,-77.961,1040,Swine - Feeder to Finish,3
Robert Wooten Jr. Farm,Washington,Lenoir,35.3694,-77.619475,1040,Swine - Feeder to Finish,3
Triple M Farms 3,Washington,Greene,35.4425,-77.5067,1040,Swine - Feeder to Finish,3
Collyn Beaman Farm,Washington,Greene,35.5344,-77.6228,1040,Swine - Wean to Feeder,2
Gay Farms,Washington,Greene,35.5703,-77.6808,1040,Swine - Feeder to Finish,3
Gary & Mike Sutton,Washington,Wayne,35.4358,-77.8411,1040,Swine - Farrow to Wean,1
P-15,Fayetteville,Bladen,34.520541,-78.616397,1032,Swine - Farrow to Wean,1
P-21,Fayetteville,Sampson,34.894902,-78.206069,1032,Swine - Feeder to Finish,3
Ham Hock Farm,Fayetteville,Bladen,34.482519,-78.603244,1030,Swine - Farrow to Wean,1
L.E. Winslow & Son Farm,Washington,Pasquotank,36.4236,-76.3542,1030,Swine - Feeder to Finish,3
Miller Farm,Washington,Greene,35.4378,-77.5603,1028,Swine - Feeder to Finish,3
Allen Farm,Washington,Pitt,35.5994,-77.547789,1028,Swine - Feeder to Finish,3
"Lafayette Farms, LLC L-12",Fayetteville,Sampson,34.950247,-78.368911,1012,Swine - Feeder to Finish,3
Thornton Brothers,Raleigh,Johnston,35.2989,-78.3033,1000,Swine - Feeder to Finish,3
Greg Marshburn Farm,Washington,Jones,34.9894,-77.5353,1000,Swine - Feeder to Finish,3
D & K Farm,Fayetteville,Sampson,35.073363,-78.601933,996,Swine - Feeder to Finish,3
Straight Line Farms,Fayetteville,Sampson,35.074616,-78.464166,996,Swine - Wean to Feeder,2
Norshan Farm (Sow),Fayetteville,Sampson,35.098501,-78.46593,991,Swine - Feeder to Finish,3
M & M Hog Farm,Washington,Greene,35.501307,-77.53364,991,Swine - Wean to Finish,6
Summitt Sow Farm,Washington,Pitt,35.756,-77.345144,991,Swine - Wean to Feeder,2
Farm 8134,Washington,Hertford,36.359873,-77.073765,991,Swine - Feeder to Finish,3
Farm 8532,Raleigh,Northampton,36.4772,-77.1353,991,Swine - Farrow to Wean,1
John Hobbs Farm,Washington,Perquimans,36.1089,-76.4794,977,Multiple,7
RLH Farm,Fayetteville,Sampson,35.060011,-78.4399,976,Swine - Feeder to Finish,3
Pridgen Finisher,Washington,Greene,35.3833,-77.6633,976,Swine - Farrow to Wean,1
Cox Brothers,Raleigh,Johnston,35.3373,-78.2688,975,Swine - Feeder to Finish,3
Evans & Sons Farm #2,Washington,Pitt,35.6437,-77.59196,965,Swine - Feeder to Finish,3
Evans & Sons Farm #1,Washington,Pitt,35.6465,-77.58801,965,Swine - Wean to Finish,6
Scott Farm,Wilmington,Onslow,34.8167,-77.3856,960,Swine - Farrow to Wean,1
Greg Marshburn Farms,Wilmington,Onslow,34.8403,-77.4272,960,Swine - Farrow to Wean,1
Jordan's Pig Farm,Wilmington,Onslow,34.8422,-77.2153,960,Swine - Farrow to Wean,1
Cedar Fork Farms,Wilmington,Duplin,34.8686,-77.6956,960,Swine - Feeder to Finish,3
Raynor's Nursery,Wilmington,Onslow,34.8964,-77.6108,960,Swine - Feeder to Finish,3
Kenneth R. Cox Farm,Wilmington,Onslow,34.9269,-77.5603,960,Swine - Farrow to Wean,1
B-Mack Farms LLC,Wilmington,Duplin,35.024122,-77.762322,960,Swine - Feeder to Finish,3
John Mohrfeld,Washington,Lenoir,35.0734,-77.685467,960,Swine - Feeder to Finish,3
Mark Dempsey Smith Farm 2,Washington,Lenoir,35.1422,-77.67927,960,Swine - Feeder to Finish,3
Mark Dempsey Smith Farm,Washington,Lenoir,35.148547,-77.679818,960,Swine - Farrow to Wean,1
William H. Warren Farm,Fayetteville,Sampson,35.165155,-78.495897,960,Swine - Feeder to Finish,3
Thornton Brothers 105,Raleigh,Johnston,35.3067,-78.3469,960,Swine - Feeder to Finish,3
Allen Unruh Farm,Washington,Craven,35.311,-77.270217,960,Swine - Wean to Feeder,2
Countryside Farm,Washington,Craven,35.3595,-77.279012,960,Swine - Farrow to Wean,1
Shayne Koehn Farm,Washington,Pitt,35.4106,-77.25542,960,Swine - Feeder to Finish,3
Pipeline Farm,Wilmington,Duplin,34.8178,-77.7239,959,Swine - Feeder to Finish,3
TDM 104 Richard Casey,Fayetteville,Sampson,35.162075,-78.319247,955,Swine - Feeder to Finish,3
Circle L,Fayetteville,Sampson,35.233688,-78.400047,950,Swine - Feeder to Finish,3
Swift Creek Farm,Washington,Pitt,35.4392,-77.298581,950,Swine - Feeder to Finish,3
Murray Farms Inc,Raleigh,Nash,35.905,-78.08,950,Swine - Feeder to Finish,3
Moore Farm,Raleigh,Nash,36.1056,-78.0167,950,Swine - Feeder to Finish,3
Farm 5171,Fayetteville,Scotland,34.656645,-79.444492,930,Swine - Farrow to Wean,1
242 Farm,Fayetteville,Cumberland,34.85195,-78.550383,925,Swine - Feeder to Finish,3
Ken Barfield Farm Inc,Wilmington,Duplin,35.1094,-77.9797,925,Swine - Feeder to Finish,3
Blanche Jones Farm,Wilmington,Duplin,35.0575,-78.0403,900,Swine - Feeder to Finish,3
Four Beez Sow Farm,Washington,Beaufort,35.4847,-76.7,897,Swine - Feeder to Finish,3
Ivey Johnson Farm,Raleigh,Johnston,35.45695,-78.48317,894,Swine - Feeder to Finish,3
Wayne Wrench Farm,Fayetteville,Sampson,35.141827,-78.551555,893,Swine - Feeder to Finish,3
Barefoot Farm,Fayetteville,Sampson,34.643616,-78.268997,891,Swine - Farrow to Wean,1
Boyd & Son's Pig Nursery,Wilmington,Brunswick,34.1358,-78.5067,888,Swine - Wean to Feeder,2
Juniper Creek,Wilmington,Brunswick,34.139614,-78.511167,888,Swine - Wean to Feeder,2
Eddie Johnson #2,Fayetteville,Robeson,34.437667,-79.161942,888,Swine - Wean to Feeder,2
Pug & Sugs Farm,Wilmington,Columbus,34.4606,-78.8864,888,Swine - Wean to Feeder,2
George McLean Farm (new/southwest)(Double D#2),Fayetteville,Robeson,34.468236,-79.235828,888,Swine - Wean to Feeder,2
George McLean Farm (new/northeast)(Double D#1),Fayetteville,Robeson,34.471731,-79.230856,888,Swine - Wean to Feeder,2
William Davis Farm,Fayetteville,Robeson,34.605803,-79.324092,888,Swine - Wean to Feeder,2
Larson Jones Farm,Fayetteville,Bladen,34.718408,-78.394941,888,Swine - Boar/Stud,8
Vida Loco,Wilmington,Duplin,34.810109,-77.68757,888,Swine - Feeder to Finish,3
Nicken Farm I,Fayetteville,Bladen,34.837275,-78.568391,888,Swine - Feeder to Finish,3
Gold Creek Farm,Fayetteville,Anson,34.845508,-80.10178,888,Swine - Farrow to Wean,1
Gold Creek Farms #2,Fayetteville,Anson,34.863761,-80.024744,888,Swine - Wean to Feeder,2
Kenneth Brown Farm,Wilmington,Duplin,34.8725,-77.9361,888,Swine - Wean to Feeder,2
Raeford Livestock Farms Inc.,Fayetteville,Hoke,34.880166,-79.318877,888,Swine - Feeder to Finish,3
Nicken Farm II,Fayetteville,Sampson,34.892766,-78.523009,888,Swine - Farrow to Wean,1
Liberty Farm,Wilmington,Duplin,34.899097,-77.920786,888,Swine - Feeder to Finish,3
Live Oak Farms #2,Fayetteville,Anson,34.907125,-80.0411,888,Swine - Feeder to Finish,3
Live Oak Farms #1,Fayetteville,Anson,34.908397,-80.047794,888,Swine - Wean to Feeder,2
Hugs Pigs,Fayetteville,Robeson,34.926703,-79.053233,888,Swine - Feeder to Finish,3
Limestone Creek Farm,Wilmington,Duplin,34.9469,-77.7864,888,Swine - Feeder to Finish,3
Paradise Farms #2,Wilmington,Duplin,34.967978,-77.722747,888,Swine - Feeder to Finish,3
M & C Nursery,Wilmington,Duplin,34.978311,-77.977501,888,Swine - Feeder to Finish,3
Upchurch & Willis / C & M Farm,Fayetteville,Hoke,34.990383,-79.201902,888,Swine - Feeder to Finish,3
Wet Oak Farm,Wilmington,Duplin,35.0358,-78.1342,888,Swine - Feeder to Finish,3
403 Piglets,Fayetteville,Sampson,35.041283,-78.278372,888,Swine - Wean to Feeder,2
Wiley D's Farm,Fayetteville,Sampson,35.098652,-78.492911,888,Swine - Feeder to Finish,3
Pee Dee Farm,Fayetteville,Richmond,35.102819,-79.9883,888,Swine - Feeder to Finish,3
Mark Harper Farm,Wilmington,Duplin,35.1033,-77.84,888,Swine - Wean to Feeder,2
Kevin Martin Farm,Fayetteville,Anson,35.156219,-80.11625,888,Swine - Feeder to Finish,3
Eric Jones Farm,Raleigh,Lee,35.3386,-79.2175,888,Swine - Feeder to Finish,3
Rickie Norris Farm,Raleigh,Johnston,35.372244,-78.469808,888,Swine - Feeder to Finish,3
"D & B Nursery, Site # 2 (5-8)",Wilmington,Duplin,34.9528,-77.8289,888,Swine - Feeder to Finish,3
Spring Meadow Farm,Raleigh,Johnston,35.5444,-78.3379,884,Swine - Feeder to Finish,3
Phil Creech Livestock,Wilmington,Columbus,34.436037,-78.643074,880,Swine - Wean to Feeder,2
Louis Winfree Farm,Fayetteville,Anson,35.039052,-80.063219,880,Swine - Feeder to Finish,3
Davis Bland Farm,Wilmington,Duplin,34.9181,-77.9003,880,Swine - Wean to Feeder,2
"Jones Family Farms, LLC",Washington,Wayne,35.5708,-78.005,875,Swine - Wean to Feeder,2
Sinclair Farms,Fayetteville,Sampson,35.118047,-78.349058,856,Swine - Wean to Feeder,2
Watha Farm K-6,Wilmington,Pender,34.6725,-77.9611,855,Swine - Wean to Feeder,2
Alpha Edwards Farm,Wilmington,Duplin,34.9125,-77.6997,840,Swine - Farrow to Wean,1
Benson Hog Farm,Washington,Lenoir,35.1591,-77.72359,840,Swine - Feeder to Finish,3
Whitted-King Farm,Wilmington,Duplin,35.1717,-78.1372,840,Swine - Feeder to Finish,3
Ross Barefoot,Fayetteville,Sampson,35.259019,-78.480675,840,Swine - Feeder to Finish,3
Joe Dan Pope & Son,Fayetteville,Sampson,35.066822,-78.218111,838,Swine - Wean to Finish,6
Frank Howard Farm,Washington,Jones,35.0081,-77.5878,835,Swine - Feeder to Finish,3
Felton Hobbs Farm,Fayetteville,Sampson,35.109211,-78.303333,830,Multiple,7
Tar Heel Swine,Fayetteville,Richmond,35.11705,-79.721867,825,Swine - Feeder to Finish,3
Bogue Farm II,Wilmington,Columbus,34.3842,-78.5961,822,Swine - Farrow to Wean,1
"Robco Farms, LLC",Fayetteville,Robeson,34.442981,-79.167694,822,Swine - Farrow to Wean,1
Farm 7668,Fayetteville,Scotland,34.807225,-79.510195,822,Swine - Farrow to Feeder,4
"T&W Family Farms, LLC",Wilmington,Duplin,34.8367,-78.11,822,Swine - Feeder to Finish,3
Boone Family Farms,Wilmington,Duplin,34.8383,-78.1375,822,Swine - Wean to Feeder,2
Howard Farms - Sow,Wilmington,Onslow,34.8469,-77.4903,822,Swine - Wean to Feeder,2
Mike Hope Sow Farm,Fayetteville,Sampson,34.906958,-78.33758,822,Swine - Feeder to Finish,3
White Oak River Farms - Hoffman Sow Farm,Washington,Jones,34.925958,-77.372446,822,Swine - Feeder to Finish,3
Dail Farms Inc,Wilmington,Duplin,35.065425,-77.942881,822,Swine - Wean to Feeder,2
We Dig Pigs,Washington,Lenoir,35.135,-77.76255,822,Swine - Wean to Feeder,2
"KLS Swine Farm, LLC",Winston-Salem,Randolph,35.8119,-79.6272,822,Swine - Wean to Feeder,2
Archer Farms,Washington,Wayne,35.2403,-78.1819,822,Swine - Feeder to Finish,3
Shan Spivey Topping Operation,Wilmington,Columbus,34.1903,-78.7958,813,Swine - Feeder to Finish,3
James Braxton Rouse Farm 2,Washington,Lenoir,35.1785,-77.82402,813,Swine - Feeder to Finish,3
Glenn Honeycutt Farm,Raleigh,Johnston,35.518516,-78.536142,813,Swine - Feeder to Finish,3
Randall Lewis Farm 2,Winston-Salem,Alamance,35.87,-79.3033,813,Swine - Feeder to Finish,3
Blue Rose 4,Raleigh,Northampton,36.3983,-77.2731,813,Swine - Feeder to Finish,3
Long's Hog Farm,Raleigh,Northampton,36.44,-77.3633,813,Swine - Feeder to Finish,3
Paul Lilley Farm,Washington,Gates,36.4175,-76.7622,808,Multiple,7
Kevin Bostic Farm sites 1&2,Wilmington,Duplin,34.859523,-77.894099,800,Swine - Feeder to Finish,3
Terry Miller Farm sites 1&2,Wilmington,Duplin,34.875,-77.8667,800,Swine - Feeder to Finish,3
D & C Farms,Wilmington,Duplin,34.8944,-77.7136,800,Swine - Feeder to Finish,3
White Oak River Farms (Forrest Nursery),Washington,Jones,34.9181,-77.3708,800,Swine - Wean to Feeder,2
K&T Farms,Fayetteville,Sampson,35.023202,-78.432261,800,Swine - Wean to Feeder,2
Bacon Bits,Fayetteville,Sampson,35.137619,-78.492144,800,Swine - Feeder to Finish,3
Ricky Kornegay,Wilmington,Duplin,35.1389,-77.8347,800,Swine - Feeder to Finish,3
Beulahland Farm,Washington,Wayne,35.185,-77.8347,800,Swine - Farrow to Feeder,4
C&S Little Pigs,Washington,Wayne,35.2261,-78.1597,800,Swine - Feeder to Finish,3
P & D Nursery,Washington,Wayne,35.2786,-78.1169,800,Swine - Feeder to Finish,3
Ronnie Lee Dawson Farm,Washington,Wayne,35.2958,-77.9025,800,Swine - Feeder to Finish,3
R & T Eldridge Farms,Raleigh,Johnston,35.2986,-78.3936,800,Swine - Farrow to Wean,1
Little Squealers Nursery,Washington,Craven,35.3762,-77.292729,800,Swine - Feeder to Finish,3
Daw & Son Farm,Washington,Wayne,35.4736,-77.9433,800,Swine - Feeder to Finish,3
C&G Swine,Washington,Wayne,35.4922,-77.8894,800,Swine - Wean to Feeder,2
B&P Pig Farm,Washington,Wayne,35.4961,-77.8883,800,Swine - Wean to Feeder,2
Spencer Heritage Farms Nursery,Washington,Wayne,35.5642,-77.8803,800,Swine - Feeder to Finish,3
Elsie and Nick Herring Nursery,Wilmington,Duplin,35.0625,-77.8969,800,Swine - Farrow to Wean,1
Ann Herring Farm,Wilmington,Duplin,35.0867,-77.8106,800,Swine - Farrow to Finish,5
Reedy Branch Farm,Fayetteville,Bladen,34.539161,-78.82878,797,Multiple,7
Triple R Hog Farm,Washington,Wayne,35.2008,-77.9069,795,Swine - Wean to Feeder,2
P-2333 House 9,Wilmington,Duplin,35.0061,-77.8997,786,Swine - Feeder to Finish,3
Elder Creek Farm,Wilmington,Duplin,34.9008,-78.0125,780,Swine - Feeder to Finish,3
J. Thomas Howard & Sons Farm - Sow,Fayetteville,Sampson,35.099044,-78.565775,780,Swine - Feeder to Finish,3
Mike Hope Nursery,Fayetteville,Sampson,34.83895,-78.339738,775,Swine - Feeder to Finish,3
Coles Farms Inc.- North Pork,Washington,Washington,35.8161,-76.5947,767,Swine - Feeder to Finish,3
A & A Farm,Fayetteville,Bladen,34.679069,-78.366355,760,Swine - Wean to Feeder,2
Lamb Farms,Fayetteville,Sampson,34.886883,-78.326247,760,Swine - Feeder to Finish,3
Cannady's Bacon,Fayetteville,Sampson,35.083344,-78.427588,760,Swine - Farrow to Feeder,4
N&J Butler Pig Farm,Fayetteville,Sampson,35.108847,-78.413719,760,Swine - Wean to Feeder,2
Jay Sullivan & Son Farm Nursery,Fayetteville,Sampson,35.204991,-78.182586,760,Swine - Feeder to Finish,3
Minnie Edwards Farm,Fayetteville,Sampson,35.240255,-78.29143,760,Swine - Farrow to Wean,1
Double K Farms,Fayetteville,Sampson,34.74388,-78.252302,754,Swine - Wean to Feeder,2
Sampson Sow Farm,Fayetteville,Sampson,35.032752,-78.568731,754,Swine - Feeder to Finish,3
Edsel Bennett Feeder Pig Farm,Winston-Salem,Stokes,36.4669,-80.1675,744,Swine - Farrow to Wean,1
"Triple B Hog Farms, LLC",Wilmington,Duplin,35.15,-77.8819,742,Swine - Feeder to Finish,3
"D & B Nursery, Site # 2 (1-4)",Wilmington,Duplin,34.947151,-77.83011,740,Swine - Feeder to Finish,3
Steve Sanders Farm,Washington,Craven,35.288,-77.406897,740,Swine - Feeder to Finish,3
Bobby Britt Farm,Wilmington,Duplin,35.1033,-77.8022,740,Swine - Farrow to Finish,5
Barber McLamb Farm,Raleigh,Johnston,35.446769,-78.563904,736,Swine - Wean to Feeder,2
A & P South,Fayetteville,Sampson,34.668088,-78.253336,729,Swine - Feeder to Finish,3
Wayne Rouse & Doug Hill Farm,Washington,Lenoir,35.3201,-77.77202,711,Swine - Feeder to Finish,3
Cornfed II,Wilmington,Duplin,35.0233,-77.79,702,Swine - Feeder to Finish,3
Cornfed I,Wilmington,Duplin,35.0278,-77.7797,702,Swine - Feeder to Finish,3
M & D Sow Farm,Wilmington,Pender,34.5553,-78.0389,685,Swine - Farrow to Wean,1
Moody Farms LLC,Washington,Lenoir,35.1938,-77.69627,685,Swine - Feeder to Finish,3
Craig Farm #2,Washington,Wayne,35.2917,-78.0794,685,Swine - Feeder to Finish,3
Swift Creek Hog Farm,Raleigh,Nash,36.0864,-77.735,685,Swine - Feeder to Finish,3
P-9 w/ Isolation,Fayetteville,Sampson,34.905312,-78.358463,683,Swine - Feeder to Finish,3
Jenkins Farm,Raleigh,Northampton,36.374509,-77.277254,678,Swine - Farrow to Finish,5
Greg Taylor Farm,Raleigh,Northampton,36.4067,-77.3289,678,Swine - Farrow to Wean,1
Tar Kiln Farm (Gooden #3),Fayetteville,Bladen,34.585325,-78.674444,660,Swine - Wean to Feeder,2
Charles Aycock #1,Wilmington,Duplin,34.7583,-77.7333,660,Swine - Wean to Feeder,2
Jenni Farm 3,Wilmington,Duplin,34.7803,-77.9886,660,Swine - Feeder to Finish,3
Injun Run,Wilmington,Duplin,34.999999,-77.834099,660,Swine - Wean to Feeder,2
Chapman Nursery,Washington,Greene,35.393284,-77.570149,660,Swine - Feeder to Finish,3
NH Herring Farm,Wilmington,Duplin,35.0494,-77.9878,660,Swine - Farrow to Wean,1
"Morgan Farms, Inc.",Washington,Lenoir,35.1379,-77.666883,658,Swine - Feeder to Finish,3
Fennell Nursery 3,Wilmington,Pender,34.444767,-77.960467,650,Swine - Wean to Feeder,2
Walter B. Nursery,Fayetteville,Bladen,34.559986,-78.578311,650,Swine - Wean to Feeder,2
Kenneth Kinlaw #4,Fayetteville,Bladen,34.580766,-78.709472,650,Swine - Wean to Feeder,2
Cowford Nursery Farm,Fayetteville,Bladen,34.589255,-78.674541,650,Swine - Wean to Feeder,2
White Bay Nursery Farm,Fayetteville,Bladen,34.589561,-78.666391,650,Swine - Wean to Feeder,2
Clay Hill Farms,Fayetteville,Bladen,34.590297,-78.681386,650,Swine - Wean to Feeder,2
Twisted Hickory,Fayetteville,Bladen,34.594805,-78.684583,650,Swine - Wean to Feeder,2
Little Crib,Fayetteville,Bladen,34.599005,-78.689677,650,Swine - Wean to Feeder,2
A & G Smith Farms #3,Wilmington,Pender,34.6458,-78.1342,650,Swine - Farrow to Wean,1
Wade Blackburn Farm,Fayetteville,Sampson,34.668,-78.198588,650,Swine - Farrow to Wean,1
Turkey Oaks Nursery,Fayetteville,Bladen,34.684291,-78.642211,650,Swine - Feeder to Finish,3
Yorick Nursery,Fayetteville,Bladen,34.689216,-78.645408,650,Swine - Farrow to Wean,1
Red Oak Nursery,Fayetteville,Bladen,34.708602,-78.820008,650,Swine - Feeder to Finish,3
Jerry Michael Walker Farm,Wilmington,Duplin,34.730108,-77.772947,650,Swine - Feeder to Finish,3
Melvin Farms,Fayetteville,Sampson,34.73418,-78.258891,650,Swine - Feeder to Finish,3
Squirrel Hill Farm,Fayetteville,Bladen,34.739644,-78.718444,650,Swine - Feeder to Finish,3
Sandy Wooten Farms,Wilmington,Duplin,34.741541,-77.698713,650,Swine - Feeder to Finish,3
George Hall Nursery,Fayetteville,Bladen,34.741797,-78.600136,650,Swine - Feeder to Finish,3
Brown & Mobley Farm,Wilmington,Duplin,34.7453,-77.6931,650,Swine - Feeder to Finish,3
Walton Brothers Nursery,Wilmington,Onslow,34.7464,-77.6239,650,Swine - Feeder to Finish,3
J & D Sholar Farm #4,Wilmington,Duplin,34.7494,-77.7956,650,Swine - Wean to Feeder,2
Sholar #3,Wilmington,Duplin,34.7517,-77.7914,650,Swine - Wean to Feeder,2
Longstreet Nursery,Fayetteville,Bladen,34.752336,-78.42523,650,Swine - Feeder to Finish,3
Charles Aycock #2 (Mitchell Nursery),Wilmington,Duplin,34.753908,-77.739906,650,Swine - Feeder to Finish,3
