ACRES_AG_1MI,BIRD_COUNT,Barns,COUNTYNAME,Operation,APP_RATE,Status,WASTE_OUTPUT,TYPE,X,Y,MMBTU_potential
658,75564,6,Gaston,Unknown,1809,Unknown,595,Poultry - Broiler,-81.4352,35.4065,4543.0616893825945
363,37782,3,Gaston,Unknown,1636,Unknown,297,Poultry - Broiler,-81.3801,35.4167,2267.713145792656
131,36783,3,Lincoln,Unknown,4137,Unknown,271,Poultry - Broiler,-81.158,35.4269,2069.192803063333
0,15179,1,Cabarrus,Unknown,0,Unknown,109,Poultry - Broiler,-80.6229,35.4219,832.2583599037022
268,30358,2,Cabarrus,L&S PROP OF MT PLEASANT LLC,1634,Unknown,219,Poultry - Broiler,-80.4668,35.4141,1672.152117604686
667,62214,6,Stanly,HUNEYCUTT BROTHERS FARMS,2228,Unknown,743,Poultry - Broiler,-80.3337,35.4115,5673.1005633802815
504,41476,4,Stanly,Unknown,1964,Unknown,495,Poultry - Broiler,-80.326,35.4379,3779.5219096544274
394,29718,2,Cleveland,Unknown,1168,Unknown,230,Poultry - Broiler,-81.531,35.4064,1756.1414933747844
382,59436,4,Cleveland,Unknown,2408,Unknown,460,Poultry - Broiler,-81.4558,35.4102,3512.282986749569
157,25188,2,Gaston,Unknown,2522,Unknown,198,Poultry - Broiler,-81.1711,35.4012,1511.8087638617708
199,37782,3,Gaston,Unknown,2985,Unknown,297,Poultry - Broiler,-81.1578,35.3997,2267.713145792656
80,45537,3,Cabarrus,JLP HOLDINGS LLC A NC LLC,8200,Unknown,328,Poultry - Broiler,-80.6636,35.4017,2504.4104775083883
896,20738,2,Stanly,Unknown,554,Unknown,248,Poultry - Broiler,-80.2621,35.4176,1893.5786537258543
1013,20738,2,Stanly,Unknown,490,Unknown,248,Poultry - Broiler,-80.254,35.4093,1893.5786537258543
133,15179,1,Cabarrus,JLP HOLDINGS LLC A NC LLC,1639,Unknown,109,Poultry - Broiler,-80.6643,35.3974,832.2583599037022
162,15179,1,Cabarrus,JLP HOLDINGS LLC A NC LLC,1346,Unknown,109,Poultry - Broiler,-80.6585,35.3887,832.2583599037022
207,121432,8,Cabarrus,Unknown,8444,Unknown,874,Poultry - Broiler,-80.489,35.3736,6673.337674824181
625,15179,1,Cabarrus,Unknown,349,Unknown,109,Poultry - Broiler,-80.4091,35.3784,832.2583599037022
763,31107,3,Stanly,Unknown,972,Unknown,371,Poultry - Broiler,-80.3246,35.3897,2832.7325827915
865,62214,6,Stanly,DOGWOOD FARMS NC LLC,1718,Unknown,743,Poultry - Broiler,-80.2979,35.3599,5673.1005633802815
309,10369,1,Stanly,Unknown,803,Unknown,124,Poultry - Broiler,-80.252,35.3759,946.7893268629272
522,25188,2,Gaston,Unknown,759,Unknown,198,Poultry - Broiler,-81.332,35.3632,1511.8087638617708
197,121432,8,Cabarrus,Unknown,8873,Unknown,874,Poultry - Broiler,-80.492,35.3714,6673.337674824181
597,20738,2,Stanly,Unknown,831,Unknown,248,Poultry - Broiler,-80.345,35.3691,1893.5786537258543
865,20738,2,Stanly,Unknown,573,Unknown,248,Poultry - Broiler,-80.2872,35.3673,1893.5786537258543
345,25188,2,Gaston,Unknown,1148,Unknown,198,Poultry - Broiler,-81.3173,35.3491,1511.8087638617708
469,10369,1,Stanly,Unknown,529,Unknown,124,Poultry - Broiler,-80.352,35.3406,946.7893268629272
672,41476,4,Stanly,Unknown,1473,Unknown,495,Poultry - Broiler,-80.3114,35.367,3779.5219096544274
536,10369,1,Stanly,Unknown,463,Unknown,124,Poultry - Broiler,-80.249,35.3548,946.7893268629272
140,29718,2,Cleveland,Unknown,3286,Unknown,230,Poultry - Broiler,-81.4075,35.3278,1756.1414933747844
139,59436,4,Cleveland,Unknown,6619,Unknown,460,Poultry - Broiler,-81.4033,35.3295,3512.282986749569
265,25188,2,Gaston,Unknown,1494,Unknown,198,Poultry - Broiler,-81.3489,35.3281,1511.8087638617708
349,37782,3,Gaston,Unknown,1702,Unknown,297,Poultry - Broiler,-81.3274,35.3426,2267.713145792656
245,25188,2,Gaston,Unknown,1616,Unknown,198,Poultry - Broiler,-81.3136,35.3243,1511.8087638617708
54,25188,2,Gaston,Unknown,7333,Unknown,198,Poultry - Broiler,-81.1764,35.3295,1511.8087638617708
59,25188,2,Gaston,Unknown,6712,Unknown,198,Poultry - Broiler,-81.1588,35.3298,1511.8087638617708
537,103690,10,Stanly,Unknown,4611,Unknown,1238,Poultry - Broiler,-80.3834,35.3048,9452.62247303471
1058,51845,5,Stanly,Unknown,1170,Unknown,619,Poultry - Broiler,-80.3052,35.336,4726.311236517355
888,72583,7,Stanly,DOGWOOD FARMS NC LLC,1950,Unknown,866,Poultry - Broiler,-80.2932,35.3497,6612.254492445927
649,20738,2,Stanly,Unknown,764,Unknown,248,Poultry - Broiler,-80.2522,35.3486,1893.5786537258543
301,89154,6,Cleveland,Unknown,4585,Unknown,690,Poultry - Broiler,-81.4057,35.3155,5268.424480124353
507,20738,2,Stanly,Unknown,978,Unknown,248,Poultry - Broiler,-80.398,35.3089,1893.5786537258543
733,41476,4,Stanly,Unknown,1351,Unknown,495,Poultry - Broiler,-80.3586,35.3092,3779.5219096544274
688,20738,2,Stanly,Unknown,721,Unknown,248,Poultry - Broiler,-80.2527,35.3251,1893.5786537258543
351,74295,5,Cleveland,Unknown,3276,Unknown,575,Poultry - Broiler,-81.3777,35.2694,4390.353733436961
203,60716,4,Cabarrus,Unknown,4305,Unknown,437,Poultry - Broiler,-80.5466,35.2852,3336.6688374120904
355,60716,4,Cabarrus,SUNBELT FARMS LLC  A NC LLC,2462,Unknown,437,Poultry - Broiler,-80.4385,35.2935,3336.6688374120904
567,20738,2,Stanly,Unknown,875,Unknown,248,Poultry - Broiler,-80.3021,35.3068,1893.5786537258543
965,20738,2,Stanly,Unknown,514,Unknown,248,Poultry - Broiler,-80.2474,35.2879,1893.5786537258543
927,41476,4,Stanly,Unknown,1068,Unknown,495,Poultry - Broiler,-80.2356,35.2935,3779.5219096544274
415,29718,2,Cleveland,Unknown,1108,Unknown,230,Poultry - Broiler,-81.3902,35.2882,1756.1414933747844
865,41476,4,Stanly,Unknown,1145,Unknown,495,Poultry - Broiler,-80.2245,35.2867,3779.5219096544274
82,51845,5,Stanly,Unknown,15098,Unknown,619,Poultry - Broiler,-80.4178,35.2416,4726.311236517355
432,20738,2,Stanly,TALLEY FARMS INC,1148,Unknown,248,Poultry - Broiler,-80.2657,35.2498,1893.5786537258543
829,41476,4,Stanly,Unknown,1194,Unknown,495,Poultry - Broiler,-80.213,35.266,3779.5219096544274
